2025-11-11T15:16:41.897821400 | User: null | Score: 2/5
2025-11-11T15:17:25.075500300 | User: null | Score: 0/5
2025-11-11T15:18:21.831844 | User: null | Score: 1/5
2025-11-11T15:24:28.639097700 | User: null | Score: 1/5
2025-11-11T15:25:07.290113500 | User: null | Score: 3/5
2025-11-11T15:26:32.579604700 | User: null | Score: 0/5
2025-11-11T15:26:56.857315700 | User: null | Score: 2/5
2025-11-11T15:34:07.337828100 | User: null | Score: 0/5
2025-11-11T15:34:26.368307400 | User: null | Score: 2/5
2025-11-11T16:08:21.900540900 | User: null | Score: 2/5
2025-11-12T11:23:00.171121500 | User: null | Score: 0/5
2025-11-12T11:23:16.415670200 | User: null | Score: 0/5
